Month of Data Date,State On/Off ,Index,Game Name,Parent Supplier,Game Category,"Month, Year of OGPD Release Date",Casinos (Sites),Avg. Average Bet,Median Avg Bet,Avg. Games Played Index,Avg. Coin In Index,Theo Win Index,Avg. Theo Win Index Game Category,% of Total GGR
,,"1,094",Boom Pirates Fight For Gold,Games Global,Slot,"February, 2025",18,$2.00,$1.70,0.46,0.4,0.54,0.59,0.02%
,,"1,095",Crystal Star,Everi,Slot,"October, 2022",21,$7.35,$7.99,0.17,0.5,0.54,0.59,0.02%
,,"1,096",Gold Stacks 88 Turtle Kingdom,Aristocrat,Slot,"February, 2025",15,$2.37,$2.19,0.38,0.4,0.54,0.59,0.01%
,,"1,097",Thunderstruck Gold Blitz Extreme,Games Global,Slot,"January, 2025",22,$1.76,$1.50,0.50,0.4,0.54,0.59,0.02%
,,"1,098",Super Safari,Light & Wonder,Slot,"March, 2021",4,$3.33,$1.16,0.29,0.5,0.54,0.59,0.00%
,,"1,099",Fortune Coin Fever Spins,Igt,Slot,"May, 2025",30,$1.25,$0.92,0.64,0.3,0.53,0.59,0.03%
,,"1,100",Fortune House,Evolution,Slot,"October, 2021",19,$3.01,$1.19,0.30,0.4,0.53,0.59,0.01%
,,"1,101",Silverback Gold,Evolution,Slot,"August, 2022",26,$6.56,$3.38,0.62,0.5,0.53,0.59,0.02%
,,"1,102",Pork Knox,Evolution,Slot,"August, 2021",21,$1.38,$1.09,0.52,0.3,0.53,0.59,0.01%
,,"1,103",Flash Pays Blast Off LuckyTap ™,Design Works Gaming,Instant Win,"September, 2022",12,$1.38,$1.24,0.79,0.7,0.53,0.99,0.01%
,,"1,104",Euphoria Megaways,Igt,Slot,"January, 2024",3,$1.07,$0.98,1.47,0.4,0.53,0.58,0.00%
,,"1,105",Temple Of Fire,Igt,Slot,"April, 2021",29,$1.79,$1.68,0.58,0.4,0.53,0.58,0.02%
,,"1,106",Jack Hammer 4 Chasing The Dragon,Evolution,Slot,"July, 2025",32,$1.82,$1.22,0.80,0.4,0.53,0.58,0.01%
,,"1,107",Hut With Chicken Legs,Spinomenal,Slot,"September, 2025",2,$1.77,$1.77,1.29,0.5,0.53,0.58,0.00%
,,"1,108",Lucha Kitty,Light & Wonder,Slot,"May, 2025",9,$0.93,$0.87,0.95,0.4,0.53,0.58,0.02%
,,"1,109",Wonder Whirl,Gamecode,Slot,"December, 2024",16,$1.68,$1.38,0.89,0.6,0.53,0.58,0.02%
,,"1,110",Bass Boss Megaways,Evolution,Slot,"June, 2025",28,$1.93,$1.35,0.24,0.3,0.53,0.58,0.01%
,,"1,111",Dangerous Beauty,High 5 Games,Slot,"March, 2021",18,$1.44,$1.39,0.90,0.5,0.53,0.58,0.02%
,,"1,112",Templar Tumble,Relax Gaming,Slot,"January, 2024",11,$3.39,$1.57,0.74,0.6,0.53,0.58,0.01%
,,"1,113",Trick Of The Dead Wild Candies Megaways,Evolution,Slot,"October, 2024",28,$0.96,$0.78,1.02,0.3,0.52,0.57,0.02%
,,"1,114",Pure Puck LuckyTap ™,Design Works Gaming,Instant Win,"April, 2024",18,$1.62,$1.16,0.38,0.3,0.52,0.97,0.01%
,,"1,115",Buckin Bucks,Konami,Slot,"September, 2021",21,$2.36,$1.30,0.22,0.3,0.52,0.57,0.04%
,,"1,116",Deal Or No Deal Roulette,White Hat Studios,Table Game,"June, 2023",6,$31.14,$18.46,0.02,0.4,0.52,0.21,0.01%
,,"1,117",3 Hat Riches Burst,Aristocrat,Slot,"May, 2025",11,$1.03,$0.97,0.78,0.4,0.52,0.57,0.01%
,,"1,118",Book Of Dead,Play N Go,Slot,"December, 2022",15,$1.96,$0.91,0.69,0.5,0.52,0.57,0.01%
,,"1,119",Ramesses Gold Megaways,Reel Play,Slot,"July, 2025",31,$1.26,$1.07,0.76,0.4,0.52,0.57,0.03%
,,"1,120",Fishin Loaded Pots Gold Blitz,Games Global,Slot,"January, 2024",11,$2.07,$1.64,0.35,0.3,0.52,0.57,0.01%
,,"1,121",Crazy Chilli Jackpot Royale,White Hat Studios,Slot,"July, 2025",11,$1.49,$1.42,0.76,0.4,0.52,0.57,0.01%
,,"1,122",Leprechauns Luck Collect Em,Playtech,Slot,"September, 2024",17,$2.14,$1.38,0.40,0.3,0.52,0.57,0.01%
,,"1,123",Jinfu Long,Playtech,Slot,"February, 2024",13,$1.22,$0.93,0.41,0.4,0.52,0.57,0.00%
,,"1,124",Thor Infinity Reels,Reel Play,Slot,"November, 2022",19,$15.77,$1.42,0.26,0.6,0.52,0.57,0.01%
,,"1,125",Eagle Storm Jackpot Royal Express,White Hat Studios,Slot,"April, 2025",26,$1.34,$1.23,0.85,0.4,0.52,0.57,0.02%
,,"1,126",The Green Knight Oath Of Thorns,Play N Go,Slot,"September, 2025",15,$1.31,$1.12,0.62,0.4,0.52,0.57,0.01%
,,"1,127",Armageddon Megaways,Reel Play,Slot,"December, 2024",28,$1.35,$1.05,0.95,0.5,0.52,0.56,0.02%
,,"1,128",Masai Mara Megaways,White Hat Studios,Slot,"April, 2023",5,$2.00,$2.02,0.78,0.5,0.52,0.56,0.00%
,,"1,129",Rumble Roo Ko,Light & Wonder,Slot,"September, 2025",22,$1.33,$1.26,0.58,0.4,0.52,0.56,0.01%
,,"1,130",Buffalo Collector,Evolution,Slot,"January, 2025",27,$1.21,$1.11,0.83,0.4,0.51,0.56,0.02%
,,"1,131",China Mystery Quick Strike,Konami,Slot,"May, 2021",22,$0.98,$0.83,1.46,0.5,0.51,0.56,0.02%
,,"1,132",Deuces Wild,Internal,Video Poker,"April, 2021",8,$4.00,$2.70,0.89,1.4,0.51,0.36,0.00%
,,"1,133",Gems Inferno Megaways,Evolution,Slot,"May, 2024",25,$1.85,$1.04,0.14,0.3,0.51,0.56,0.00%
,,"1,134",Triple Buffalo,High 5 Games,Slot,"April, 2022",3,$1.68,$1.36,0.45,0.4,0.51,0.56,0.01%
,,"1,135",Texas Tea,Igt,Slot,"July, 2023",31,$0.99,$0.84,0.89,0.5,0.51,0.56,0.02%
,,"1,136",Big Piggy Bonus,Inspired,Slot,"November, 2021",14,$1.82,$1.83,0.60,0.4,0.51,0.56,0.01%
,,"1,137",Blackjack En Espanol,Evolution,Table Game,"March, 2024",5,$81.94,$80.38,0.08,1.8,0.51,0.20,0.00%
,,"1,138",Tsai Shens Gift,Playtech,Slot,"June, 2023",10,$1.85,$1.41,0.79,0.5,0.51,0.56,0.00%
,,"1,139",Ted Cash Lock,White Hat Studios,Slot,"June, 2023",12,$1.71,$1.72,0.39,0.3,0.51,0.56,0.01%
,,"1,140",Cash Explorer,Evolution,Slot,"September, 2025",17,$1.17,$1.06,0.73,0.3,0.51,0.56,0.01%
,,"1,141",Beef Lightning,Evolution,Slot,"December, 2021",11,$3.35,$1.74,0.65,0.5,0.51,0.56,0.00%
,,"1,142",Gonzos Quest Megaways,Evolution,Slot,"August, 2021",22,$0.88,$0.87,1.07,0.3,0.51,0.56,0.02%
,,"1,143",Big Spin Bonus,Inspired,Slot,"October, 2021",24,$1.56,$1.25,0.73,0.4,0.51,0.56,0.03%
,,"1,144",Legacy Of Gods,White Hat Studios,Slot,"July, 2025",26,$4.53,$2.31,0.15,0.4,0.51,0.56,0.01%
,,"1,145",Hot Gems,Playtech,Slot,"August, 2021",3,$5.14,$2.56,0.15,0.8,0.51,0.55,0.00%
,,"1,146",Gold Party,Bragg Gaming Group,Slot,"February, 2024",15,$1.76,$1.29,0.49,0.4,0.51,0.55,0.01%
,,"1,147",Brilliant Diamonds Hold And Win With Bonus Buy,Igt,Slot,"August, 2023",22,$1.88,$1.58,0.71,0.5,0.50,0.55,0.01%
,,"1,148",Touchdown Cash,Evolution,Slot,"October, 2025",29,$1.24,$0.96,0.87,0.3,0.50,0.55,0.01%
,,"1,149",Stellar Gold,Games Global,Slot,"September, 2025",19,$1.19,$1.15,0.88,0.4,0.50,0.55,0.01%
,,"1,150",Chronos Joker,Play N Go,Slot,"July, 2022",7,$5.98,$1.50,0.29,0.6,0.50,0.55,0.01%
,,"1,151",Bloomin Bunnies,Light & Wonder,Slot,"June, 2025",7,$1.39,$1.10,0.53,0.3,0.50,0.55,0.00%
,,"1,152",Cashin Joker,Play N Go,Slot,"September, 2025",22,$0.95,$0.91,0.92,0.4,0.50,0.55,0.01%
,,"1,153",Cops N Robbers Big Money Trick Or Treat,Inspired,Slot,"September, 2024",6,$1.03,$1.01,1.17,0.3,0.50,0.55,0.00%
,,"1,154",Catch Of The Christmas Day Respin Em In,Inspired,Slot,"December, 2024",6,$0.89,$0.83,0.67,0.2,0.50,0.55,0.00%
,,"1,155",Diamond Cash Almighty Kraken,Greentube,Slot,"February, 2024",13,$1.92,$1.28,0.31,0.4,0.50,0.55,0.01%
,,"1,156",Zeus God Of Thunder,Light & Wonder,Slot,"March, 2021",17,$2.79,$1.92,0.37,0.5,0.50,0.55,0.01%
,,"1,157",Slingo Pop,Gaming Realms,Slot,"January, 2025",23,$11.21,$7.59,0.30,0.5,0.50,0.55,0.02%
,,"1,158",Fire Blaze Eternal Lady,Playtech,Slot,"June, 2023",9,$1.72,$0.97,0.65,0.6,0.50,0.55,0.00%
,,"1,159",Lotus Land,Konami,Slot,"March, 2021",9,$1.80,$1.10,0.23,0.3,0.50,0.55,0.00%
,,"1,160",Double Cherry,Everi,Slot,"March, 2021",28,$3.29,$2.30,0.25,0.4,0.50,0.55,0.02%
,,"1,161",Elevating Riches Ocean,Sega Sammy,Slot,"May, 2024",22,$2.06,$1.73,0.51,0.4,0.50,0.54,0.01%
,,"1,162",Flash Pays Magician LuckyTap ™,Design Works Gaming,Instant Win,"September, 2022",12,$1.09,$0.94,1.00,0.5,0.50,0.93,0.00%
,,"1,163",Leprechauns Luck Collect Em Megaways,Playtech,Slot,"January, 2025",15,$1.61,$1.24,0.67,0.4,0.50,0.54,0.01%
,,"1,164",Big Bad Buffalo Thunderstruck,High 5 Games,Slot,"January, 2025",24,$2.27,$1.97,0.66,0.5,0.50,0.54,0.02%
,,"1,165",Gold Rush Collect Em,Playtech,Slot,"November, 2024",11,$1.25,$1.15,0.55,0.3,0.50,0.54,0.01%
,,"1,166",Fire Blaze Tundra Wolf,Playtech,Slot,"May, 2023",5,$2.04,$2.01,0.92,0.6,0.50,0.54,0.00%
,,"1,167",Blood Suckers 2,Evolution,Slot,"March, 2021",27,$2.37,$1.94,0.68,0.6,0.50,0.54,0.01%
,,"1,168",Gypsy Fire,Konami,Slot,"March, 2021",9,$1.11,$1.20,0.64,0.4,0.49,0.54,0.01%
,,"1,169",Wish Upon A Star,Greentube,Slot,"November, 2022",10,$1.24,$1.21,0.79,0.4,0.49,0.54,0.01%
,,"1,170",Crabbin For Cash Extra Big Catch Jackpot Royale,White Hat Studios,Slot,"October, 2023",24,$1.61,$1.43,0.45,0.3,0.49,0.54,0.02%
,,"1,171",Cherrylicious,Greentube,Slot,"December, 2022",5,$10.01,$0.95,0.08,0.4,0.49,0.54,0.00%
,,"1,172",Merlins Millions Super Bet,Light & Wonder,Slot,"March, 2021",15,$3.90,$2.50,0.24,0.5,0.49,0.54,0.00%
,,"1,173",Blazing Luck,Ags,Slot,"June, 2022",26,$3.10,$1.62,0.41,0.5,0.49,0.54,0.02%
,,"1,174",Sun And Moon,Aristocrat,Slot,"April, 2023",11,$1.39,$1.25,0.63,0.4,0.49,0.54,0.01%
,,"1,175",Pharaohs Daughter,Playtech,Slot,"June, 2023",4,$1.67,$1.68,1.12,0.5,0.49,0.54,0.00%
,,"1,176",Diamond Cash Mighty Sevens,Greentube,Slot,"September, 2021",16,$1.93,$1.22,0.55,0.4,0.49,0.54,0.02%
,,"1,177",American Roulette,Igt,Table Game,"November, 2023",18,$17.47,$9.47,0.09,0.4,0.49,0.19,0.01%
,,"1,178",Bon Bomb Luxpots Megaways Jackpot Royale,White Hat Studios,Slot,"July, 2024",19,$1.65,$1.33,0.41,0.4,0.49,0.54,0.02%
,,"1,179",Eternal Dusk,Slotmill,Slot,"July, 2025",5,$1.70,$1.01,0.26,0.3,0.49,0.54,0.00%
,,"1,180",Go Craps,Play N Go,Table Game,"June, 2025",9,$52.61,$23.34,0.14,2.9,0.49,0.19,0.01%
,,"1,181",Masters Of Atlantis Jackpot Royale,White Hat Studios,Slot,"October, 2024",9,$2.12,$1.86,0.78,0.4,0.49,0.54,0.01%
,,"1,182",Rise Of Cleopatra,Evolution,Slot,"July, 2025",31,$1.20,$0.83,0.97,0.3,0.49,0.53,0.02%
,,"1,183",Queenie,Bragg Gaming Group,Slot,"January, 2024",20,$1.35,$1.32,0.78,0.4,0.49,0.53,0.01%
,,"1,184",Chili Chili Fire Hot Rush Red,Konami,Slot,"August, 2025",15,$2.17,$1.99,0.33,0.3,0.49,0.53,0.01%
,,"1,185",Rich Little Piggies World Class,Light & Wonder,Slot,"March, 2025",32,$1.06,$0.95,0.86,0.4,0.49,0.53,0.03%
,,"1,186",Volcano Eruption,Light & Wonder,Slot,"March, 2021",3,$1.38,$1.21,0.58,0.5,0.49,0.53,0.00%
,,"1,187",Thunder Cash Golden Book Of Ra,Greentube,Slot,"October, 2023",9,$1.58,$1.40,0.49,0.4,0.49,0.53,0.00%
,,"1,188",Reel King Big Money,Inspired,Slot,"April, 2025",25,$1.94,$1.00,0.57,0.3,0.49,0.53,0.01%
,,"1,189",Green Machine Racking Up Riches 2,High 5 Games,Slot,"November, 2023",21,$2.95,$1.86,0.31,0.5,0.49,0.53,0.01%
,,"1,190",Ammit Treasure,Games Global,Slot,"March, 2025",19,$2.31,$1.31,0.32,0.4,0.48,0.53,0.01%
,,"1,191",The Legend Of Shangri La,Evolution,Slot,"March, 2021",9,$3.48,$1.64,0.25,0.7,0.48,0.53,0.00%
,,"1,192",Immortal Romance 2,Games Global,Slot,"September, 2024",19,$1.50,$1.04,0.49,0.4,0.48,0.53,0.03%
,,"1,193",Aztec Might Cash Spree,Games Global,Slot,"July, 2025",19,$1.40,$1.23,0.62,0.3,0.48,0.53,0.03%
,,"1,194",Finn And The Candy Spin,Evolution,Slot,"March, 2024",23,$1.08,$0.88,0.73,0.3,0.48,0.53,0.01%
,,"1,195",Royal Mint Megaways,Evolution,Slot,"June, 2023",4,$3.05,$1.37,0.45,0.5,0.48,0.53,0.00%
,,"1,196",Fa Fa Babies 2,Evolution,Slot,"December, 2024",32,$0.75,$0.66,1.10,0.3,0.48,0.52,0.02%
,,"1,197",Chili Chili Fire,Konami,Slot,"March, 2021",24,$1.59,$1.47,0.59,0.4,0.48,0.52,0.01%
,,"1,198",Demi Gods 5,Spinomenal,Slot,"September, 2025",2,$1.71,$1.71,1.04,0.4,0.48,0.52,0.00%
,,"1,199",Kong Wonder Wilds,Inspired,Slot,"February, 2025",26,$1.66,$1.50,0.55,0.3,0.48,0.52,0.02%
,,"1,200",Saint Fished,White Hat Studios,Slot,"May, 2025",31,$1.28,$1.06,0.49,0.4,0.48,0.52,0.01%
,,"1,201",Green Machine Deluxe Vegas,High 5 Games,Slot,"November, 2024",23,$9.10,$6.08,0.05,0.3,0.48,0.52,0.01%
,,"1,202",Red White And Blue,Igt,Slot,"March, 2021",26,$0.62,$0.43,1.23,0.5,0.48,0.52,0.01%
,,"1,203",Ted,White Hat Studios,Slot,"July, 2022",25,$2.02,$1.53,0.57,0.4,0.48,0.52,0.02%
,,"1,204",Live Dealer Casino Hold Em,Evolution,Live Casino,"June, 2021",12,$21.53,$11.97,0.16,0.8,0.47,0.13,0.01%
,,"1,205",Golden Fields,Games Global,Slot,"March, 2024",10,$1.71,$1.11,0.18,0.4,0.47,0.52,0.00%
,,"1,206",Longhorn Jackpots,Ags,Slot,"March, 2021",24,$1.84,$1.59,0.64,0.5,0.47,0.52,0.02%
,,"1,207",Lucky Golden Toad,Igt,Slot,"April, 2023",29,$5.94,$5.51,0.12,0.4,0.47,0.52,0.02%
,,"1,208",Lightning Eclipse,Light & Wonder,Slot,"April, 2023",31,$2.16,$1.51,0.62,0.4,0.47,0.52,0.02%
,,"1,209",Blood Suckers Megaways,Evolution,Slot,"March, 2024",29,$1.95,$1.88,0.47,0.3,0.47,0.52,0.02%
,,"1,210",Big Big Fishing Fortune,Inspired,Slot,"December, 2022",25,$1.70,$1.42,0.52,0.3,0.47,0.52,0.02%
,,"1,211",Jokers Edge,1x2 Network,Slot,"September, 2025",4,$1.14,$0.73,0.87,0.4,0.47,0.52,0.01%
,,"1,212",Megajackpots Majestic Buffalo,Igt,Slot,"September, 2023",9,$2.23,$1.92,0.37,0.3,0.47,0.52,0.00%
,,"1,213",Fire Blaze Adventure Trail,Playtech,Slot,"March, 2023",17,$1.37,$1.10,1.01,0.5,0.47,0.51,0.01%
,,"1,214",Tuna Overload Multiplier,Spinberry,Slot,"August, 2025",3,$0.98,$0.98,0.69,0.3,0.47,0.51,0.00%
,,"1,215",Space Invaders Win And Spin,Inspired,Slot,"May, 2024",23,$1.82,$1.08,0.76,0.4,0.47,0.51,0.01%
,,"1,216",Fishing Cash Pots,Inspired,Slot,"June, 2021",18,$1.56,$1.11,0.76,0.4,0.47,0.51,0.01%
,,"1,217",Hand Of Anubis,Hacksaw Gaming,Slot,"September, 2023",22,$1.95,$1.90,0.35,0.4,0.47,0.51,0.02%
,,"1,218",Peaky Blinders Jackpot Royale,White Hat Studios,Slot,"January, 2024",30,$2.20,$2.04,0.42,0.4,0.47,0.51,0.03%
,,"1,219",2x3x Rush,Ags,Slot,"February, 2024",30,$1.55,$1.16,0.47,0.3,0.47,0.51,0.01%
,,"1,220",Reel Lucky King Megaways,Inspired,Slot,"May, 2021",17,$1.55,$1.17,0.80,0.4,0.47,0.51,0.01%
,,"1,221",Aloha Christmas,Evolution,Slot,"December, 2021",15,$2.28,$1.14,0.27,0.5,0.47,0.51,0.00%
,,"1,222",Gold O Plenty,High 5 Games,Slot,"March, 2022",10,$3.89,$1.28,0.08,0.5,0.47,0.51,0.01%
,,"1,223",Bingo Billions,Light & Wonder,Slot,"March, 2021",5,$1.39,$1.42,0.74,0.4,0.47,0.51,0.00%
,,"1,224",Big Bankin Bonanza,Greentube,Slot,"September, 2023",4,$5.07,$1.06,0.24,0.4,0.46,0.51,0.00%
,,"1,225",Shamrock Spin,Everi,Slot,"March, 2021",31,$2.72,$2.33,0.42,0.4,0.46,0.51,0.02%
,,"1,226",Almighty Sevens Jackpot Royale,White Hat Studios,Slot,"July, 2022",26,$2.27,$1.70,0.38,0.4,0.46,0.51,0.03%
,,"1,227",Buffalo Blitz Ii,Playtech,Slot,"June, 2024",18,$1.36,$1.02,0.75,0.3,0.46,0.51,0.01%
,,"1,228",Gold Stacks 88 Lunar Festival,Aristocrat,Slot,"April, 2024",16,$2.36,$1.85,0.33,0.4,0.46,0.51,0.01%
,,"1,229",Carnaval Drums,Games Global,Slot,"June, 2025",22,$1.02,$1.00,0.75,0.3,0.46,0.50,0.02%
,,"1,230",Thunder Cash Juicy Juicy,Greentube,Slot,"September, 2022",15,$3.39,$2.27,0.39,0.4,0.46,0.50,0.01%
,,"1,231",Peggy Sweets,Evolution,Slot,"February, 2024",23,$4.69,$0.95,0.04,0.3,0.46,0.50,0.05%
,,"1,232",Unicorn Legend,Light & Wonder,Slot,"March, 2021",4,$1.51,$1.53,0.78,0.4,0.46,0.50,0.00%
,,"1,233",Rick And Morty Wubba Lubba Dub Dub,White Hat Studios,Slot,"July, 2023",9,$1.72,$1.68,0.60,0.4,0.46,0.50,0.00%
,,"1,234",Minting It Hold And Win,Igt,Slot,"June, 2025",18,$3.49,$1.63,0.24,0.3,0.46,0.50,0.01%
,,"1,235",Lightning Tiger,Light & Wonder,Slot,"November, 2023",23,$2.46,$1.65,0.24,0.3,0.46,0.50,0.01%
,,"1,236",Roulette Classic,Igt,Table Game,"June, 2023",2,$56.35,$56.35,0.12,0.6,0.46,0.18,0.00%
,,"1,237",Dead Or Alive,Evolution,Slot,"March, 2021",26,$1.06,$0.74,2.25,0.6,0.46,0.50,0.01%
,,"1,238",Bass Boss,Evolution,Slot,"June, 2023",27,$1.10,$0.73,0.32,0.3,0.46,0.50,0.01%
,,"1,239",2 Kings Of Africa,Red Rake Gaming,Slot,"December, 2024",7,$0.91,$0.61,0.78,0.5,0.46,0.50,0.00%
,,"1,240",Medusas Madness,Play N Go,Slot,"March, 2025",12,$0.88,$0.71,0.53,0.3,0.46,0.50,0.01%
,,"1,241",Ghostbusters Plus,Igt,Slot,"March, 2021",8,$2.23,$0.66,0.25,0.3,0.46,0.50,0.00%
,,"1,242",Christmas Bonanza,Evolution,Slot,"December, 2022",15,$2.26,$2.25,0.57,0.5,0.46,0.50,0.01%
,,"1,243",Golden Asp Of Fortune,High 5 Games,Slot,"October, 2025",14,$1.69,$1.62,0.62,0.5,0.46,0.50,0.01%
,,"1,244",Eagle Bucks,Ainsworth,Slot,"March, 2021",9,$1.54,$1.20,0.31,0.5,0.46,0.50,0.00%
,,"1,245",Speed Blackjack,Evolution,Table Game,"January, 2023",6,$73.90,$70.98,0.04,0.6,0.46,0.18,0.00%
,,"1,246",Slingo Fishin Frenzy,Gaming Realms,Slot,"July, 2021",11,$14.73,$7.70,0.08,0.4,0.46,0.50,0.01%
,,"1,247",Pop A Shot 2 LuckyTap ™,Design Works Gaming,Instant Win,"January, 2025",19,$1.29,$1.16,0.51,0.3,0.45,0.85,0.01%
,,"1,248",Blue Ribbon,Everi,Slot,"March, 2021",26,$3.17,$2.30,0.17,0.4,0.45,0.50,0.01%
,,"1,249",Wheel Of Fortune On Tour,Igt,Slot,"March, 2021",27,$3.59,$2.10,0.26,0.3,0.45,0.50,0.02%
,,"1,250",Kronos,Light & Wonder,Slot,"March, 2021",14,$0.99,$0.89,1.06,0.5,0.45,0.49,0.01%
,,"1,251",Pinatas And Ponies,Evolution,Slot,"June, 2024",24,$8.91,$0.82,0.05,0.4,0.45,0.49,0.02%
,,"1,252",Stellar Cash Chicken Fox 5x Skillstar,Light & Wonder,Slot,"April, 2023",18,$2.66,$1.14,0.36,0.4,0.45,0.49,0.01%
,,"1,253",Big Egyptian Fortune,Inspired,Slot,"September, 2022",21,$1.68,$1.11,0.51,0.3,0.45,0.49,0.01%
,,"1,254",Golden Macaque,Playtech,Slot,"June, 2023",2,$2.36,$2.36,0.82,0.5,0.45,0.49,0.00%
,,"1,255",Astronomical Magic,Konami,Slot,"March, 2021",23,$1.86,$1.46,0.45,0.4,0.45,0.49,0.01%
,,"1,256",Big Bonus,Inspired,Slot,"March, 2021",24,$1.42,$1.27,0.56,0.4,0.45,0.49,0.02%
,,"1,257",Lucky 8 Keno,Pixiu Gaming,Bingo/Keno,"March, 2022",12,$0.74,$0.73,0.58,0.2,0.45,0.42,0.01%
,,"1,258",Cash Express Luxury Line Pelican Pete,Aristocrat,Slot,"April, 2025",9,$1.86,$1.77,0.42,0.3,0.45,0.49,0.01%
,,"1,259",Ravens Reveal,Light & Wonder,Slot,"October, 2022",20,$1.22,$1.06,0.87,0.5,0.45,0.49,0.01%
,,"1,260",One Red Cent Deluxe,Everi,Slot,"March, 2021",16,$2.52,$2.61,0.41,0.5,0.45,0.49,0.02%
,,"1,261",First Person Football Studio,Evolution,Live Casino,"June, 2021",23,$32.59,$16.99,0.06,0.5,0.45,0.12,0.02%
,,"1,262",Quick Hit Black And White Double Jackpot,Light & Wonder,Slot,"October, 2025",10,$1.68,$1.27,0.59,0.3,0.45,0.49,0.01%
,,"1,263",San Quentin Xways,Evolution,Slot,"July, 2024",18,$2.56,$0.85,0.31,0.3,0.45,0.49,0.02%
,,"1,264",Reel King Megaways,Inspired,Slot,"March, 2021",12,$1.70,$1.38,0.94,0.5,0.45,0.49,0.01%
,,"1,265",Sixsixsix,Hacksaw Gaming,Slot,"February, 2025",15,$1.71,$1.25,0.52,0.3,0.45,0.49,0.02%
,,"1,266",Battle For Booty LuckyTap ™,Design Works Gaming,Instant Win,"June, 2023",7,$2.76,$2.18,0.39,0.3,0.45,0.83,0.00%
,,"1,267",Omg Kittens,Light & Wonder,Slot,"March, 2021",9,$3.02,$1.74,0.24,0.5,0.45,0.49,0.00%
,,"1,268",Secret Fortunes Power Combo,Games Global,Slot,"May, 2025",19,$1.09,$0.86,0.74,0.3,0.44,0.49,0.01%
,,"1,269",Double Rainbow,Hacksaw Gaming,Slot,"June, 2025",5,$2.48,$1.72,0.35,0.3,0.44,0.48,0.01%
,,"1,270",Dragon Born,Evolution,Slot,"October, 2025",23,$1.27,$1.30,0.63,0.3,0.44,0.48,0.02%
,,"1,271",4 Fantastic Fish,4theplayer,Slot,"November, 2023",20,$2.34,$1.54,0.23,0.4,0.44,0.48,0.02%
,,"1,272",Kings Of Crystals,Games Global,Slot,"April, 2022",18,$2.58,$1.51,0.43,0.3,0.44,0.48,0.02%
,,"1,273",Star Jewels,Everi,Slot,"May, 2023",20,$7.91,$6.09,0.12,0.4,0.44,0.48,0.01%
,,"1,274",When Pigs Fly,High 5 Games,Slot,"March, 2021",3,$14.62,$2.46,0.06,0.4,0.44,0.48,0.00%
,,"1,275",Olympus Thunder,Light & Wonder,Slot,"March, 2021",7,$3.11,$1.91,0.46,0.6,0.44,0.48,0.00%
,,"1,276",Slingo Starburst,Gaming Realms,Slot,"March, 2021",17,$6.89,$5.87,0.65,0.5,0.44,0.48,0.01%
,,"1,277",Timber Wolf Gold,Aristocrat,Slot,"August, 2025",14,$1.92,$1.73,0.40,0.3,0.44,0.48,0.01%
,,"1,278",Timber Wolf,Aristocrat,Slot,"December, 2022",14,$1.83,$1.69,0.41,0.3,0.44,0.48,0.01%
,,"1,279",Balloon Strike Ultratap,Ags,Instant Win,"May, 2025",28,$1.05,$0.79,0.85,0.3,0.44,0.81,0.01%
,,"1,280",Icy Wilds,Igt,Slot,"March, 2021",26,$1.95,$1.82,0.48,0.4,0.44,0.48,0.01%
,,"1,281",Rich Wilde And The Tome Of Madness,Play N Go,Slot,"August, 2023",11,$1.24,$1.05,0.51,0.3,0.44,0.48,0.01%
,,"1,282",Wild Wild 7s,Everi,Slot,"August, 2022",19,$4.09,$4.39,0.24,0.4,0.44,0.48,0.01%
,,"1,283",Secrets Of The Forest 2,High 5 Games,Slot,"March, 2021",8,$3.34,$2.53,0.26,0.5,0.44,0.48,0.01%
,,"1,284",Fortune Frog Skillstar,Light & Wonder,Slot,"April, 2022",21,$1.88,$1.84,0.58,0.5,0.44,0.48,0.01%
,,"1,285",Mustang Money,Ainsworth,Slot,"March, 2021",13,$1.45,$1.37,0.83,0.3,0.44,0.48,0.01%
,,"1,286",Classic Fruit Hold And Win,1x2 Network,Slot,"May, 2025",4,$0.93,$0.96,0.87,0.4,0.44,0.48,0.00%
,,"1,287",Twin Spin,Evolution,Slot,"March, 2021",20,$2.88,$1.83,0.64,0.4,0.44,0.48,0.01%
,,"1,288",Gladiator Mega Collect Em,Playtech,Slot,"December, 2024",15,$1.56,$1.55,0.58,0.3,0.43,0.47,0.01%
,,"1,289",Eureka Reel Blast Superlock Jackpot,Light & Wonder,Slot,"March, 2021",14,$2.70,$1.73,0.55,0.5,0.43,0.47,0.01%
,,"1,290",Big Cat Rescue Megaways,Evolution,Slot,"August, 2022",15,$1.03,$0.68,0.64,0.3,0.43,0.47,0.00%
,,"1,291",7 Shields Of Fortune,Bragg Gaming Group,Slot,"March, 2024",16,$1.92,$1.70,0.50,0.4,0.43,0.47,0.01%
,,"1,292",Fishin Loaded Pots,Games Global,Slot,"June, 2022",19,$0.93,$0.81,0.68,0.3,0.43,0.47,0.02%
,,"1,293",Santa King Megaways,Inspired,Slot,"March, 2021",15,$1.48,$1.32,0.62,0.4,0.43,0.47,0.01%
,,"1,294",Lock And Hit Red Knight,Playtech,Slot,"April, 2024",8,$1.41,$1.32,0.47,0.3,0.43,0.47,0.00%
